Bird Species
Diphylla-ecaudata
Diphylla-ecaudata
Pteronotus-gymnonotus
Pteronotus-gymnonotus
Vampyressa-thyone
Vampyressa-thyone
Trinycteris-nicefori
Trinycteris-nicefori
Trachops-cirrhosus
Trachops-cirrhosus
Pneumora-inanis
Pneumora-inanis
Nonnula-amaurocephala
Nonnula-amaurocephala
Petrophassa-albipennis
Petrophassa-albipennis
Myotis-albescens
Myotis-albescens
Hapithus-agitator
Hapithus-agitator
Geospiza-acutirostris
Geospiza-acutirostris
Myotis-fimbriatus
Myotis-fimbriatus
Pipistrellus-abramus
Pipistrellus-abramus
Lophostoma-silvicola
Lophostoma-silvicola
Uroderma-bilobatum
Uroderma-bilobatum
Geospiza-septentrionalis
Geospiza-septentrionalis
Hapithus-luteolira
Hapithus-luteolira
Anaxipha-calusa
Anaxipha-calusa
Epomophorus-gambianus
Epomophorus-gambianus
Hexacentrus-mundurra
Hexacentrus-mundurra
Segestidea-queenslandica
Segestidea-queenslandica
Pteropus-scapulatus
Pteropus-scapulatus
Gryllus-pennsylvanicus
Gryllus-pennsylvanicus
Gryllus-veletis
Gryllus-veletis
Austronomus-australis
Austronomus-australis
Froggattina-australis
Froggattina-australis
Pteropus-alecto
Pteropus-alecto
Nyctimene-robinsoni
Nyctimene-robinsoni
Locustella-major
Locustella-major
Cyrtoxipha-columbiana
Cyrtoxipha-columbiana
Phyllopalpus-pulchellus
Phyllopalpus-pulchellus
Amytornis-rowleyi
Amytornis-rowleyi
Pampusana-jobiensis
Pampusana-jobiensis
Isophya-rectipennis
Isophya-rectipennis
Molossus-molossus
Molossus-molossus
Molossus-rufus
Molossus-rufus
Rhinopoma-cystops
Rhinopoma-cystops
Carollia-sowelli
Carollia-sowelli
Carollia-perspicillata
Carollia-perspicillata
Artibeus-lituratus
Artibeus-lituratus
Vampyrum-spectrum
Vampyrum-spectrum
Barbastella-leucomelas
Barbastella-leucomelas
Taphozous-nudiventris
Taphozous-nudiventris
Myotis-punicus
Myotis-punicus
Myotis-blythii
Myotis-blythii
Nyctalus-lasiopterus
Nyctalus-lasiopterus
Myotis-bechsteinii
Myotis-bechsteinii
Myotis-myotis
Myotis-myotis
Myotis-nattereri
Myotis-nattereri
Myotis-alcathoe
Myotis-alcathoe
Myotis-capaccinii
Myotis-capaccinii
Eptesicus-serotinus
Eptesicus-serotinus
Nyctalus-leisleri
Nyctalus-leisleri
Myotis-brandtii
Myotis-brandtii
Myotis-mystacinus
Myotis-mystacinus
Plecotus-macrobullaris
Plecotus-macrobullaris
Myotis-crypticus
Myotis-crypticus
Rhinolophus-hipposideros
Rhinolophus-hipposideros
Rhinolophus-ferrumequinum
Rhinolophus-ferrumequinum
Rhinolophus-euryale
Rhinolophus-euryale
Myotis-escalerai
Myotis-escalerai
Myotis-emarginatus
Myotis-emarginatus
Plecotus-austriacus
Plecotus-austriacus
Miniopterus-schreibersii
Miniopterus-schreibersii
Pipistrellus-kuhlii
Pipistrellus-kuhlii
Hypsugo-savii
Hypsugo-savii
Uroderma-convexum
Uroderma-convexum
Rhynchonycteris-naso
Rhynchonycteris-naso
Pteronotus-mesoamericanus
Pteronotus-mesoamericanus
Platyrrhinus-helleri
Platyrrhinus-helleri
Noctilio-leporinus
Noctilio-leporinus
Gardnerycteris-crenulatum
Gardnerycteris-crenulatum
Micronycteris-minuta
Micronycteris-minuta
Micronycteris-microtis
Micronycteris-microtis
Micronycteris-hirsuta
Micronycteris-hirsuta
Lophostoma-brasiliense
Lophostoma-brasiliense
Dasypterus-ega
Dasypterus-ega
Glossophaga-soricina
Glossophaga-soricina
Eptesicus-furinalis
Eptesicus-furinalis
Eptesicus-brasiliensis
Eptesicus-brasiliensis
Dermanura-watsoni
Dermanura-watsoni
Centurio-senex
Centurio-senex
Carollia-castanea
Carollia-castanea
Artibeus-jamaicensis
Artibeus-jamaicensis
Arcyptera-brevipennis
Arcyptera-brevipennis
Myotis-dasycneme
Myotis-dasycneme
Aeorestes-cinereus
Aeorestes-cinereus
Lasiurus-borealis
Lasiurus-borealis
Pteropus-medius
Pteropus-medius
Eptesicus-fuscus
Eptesicus-fuscus
Hamirostra-melanosternon
Hamirostra-melanosternon
Myotis-daubentonii
Myotis-daubentonii
Tadarida-teniotis
Tadarida-teniotis
Caprimulgus-stellatus
Caprimulgus-stellatus
Euplectes-jacksoni
Euplectes-jacksoni
Setopagis-heterura
Setopagis-heterura
Turnix-melanogaster
Turnix-melanogaster
Mirafra-williamsi
Mirafra-williamsi
Gryllus-rubens
Gryllus-rubens
Gryllus-fultoni
Gryllus-fultoni
